station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,100.0,Satisfactory,FULL,PM2.5,100.0,100.0,61.78,18.75,30.0,2.15,1.5,10.0
"Deen Dayal Nagar, Gwalior - MPPCB",Gwalior,Madhya Pradesh,104.3,Moderate,FULL,PM2.5,104.3,104.3,103.64,13.75,65.7,2.75,1.25,36.0
"Regional Park, Indore - IMC",Indore,Madhya Pradesh,68.15,Satisfactory,PARTIAL_HIGH_CONFIDENCE,SO2,68.15,67.33,43.0,68.15,,0.2,,5.0
"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,214.2,Poor,FULL,PM2.5,214.2,214.2,101.66,26.25,90.2,1.7,1.75,57.86
"Airport Area, Indore - IMC",Indore,Madhya Pradesh,71.58,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,71.58,,71.58,,25.0,2.15,0.0,9.0
"Residency Area, Indore - IMC",Indore,Madhya Pradesh,77.13,Satisfactory,FULL,PM2.5,77.13,77.13,53.94,3.75,5.0,0.7,0.0,7.0
"Maguda Nagar, Indore - IMC",Indore,Madhya Pradesh,77.13,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,77.13,77.13,,22.5,2.5,2.05,,11.0
"Marhatal, Jabalpur - MPPCB",Jabalpur,Madhya Pradesh,40.0,Good,FULL,PM2.5,40.0,40.0,24.0,10.0,23.75,5.45,1.0,2.0
"Govindh Bhavan Colony, Jabalpur - JMC",Jabalpur,Madhya Pradesh,52.63,Satisfactory,FULL,PM2.5,52.63,52.63,33.0,2.5,15.0,2.4,1.0,26.0
"Suhagi, Jabalpur - JMC",Jabalpur,Madhya Pradesh,77.46,Satisfactory,FULL,PM10,77.46,75.5,77.46,8.75,69.38,2.25,1.5,17.0
"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,127.4,Moderate,FULL,PM2.5,127.4,127.4,78.44,27.5,17.5,1.8,0.25,27.0
"Sahilara, Maihar - KJS Cements",Maihar,Madhya Pradesh,1.35,Good,SINGLE_POLLUTANT_ONLY,CO,1.35,,,,,1.35,,
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,293.4,Poor,FULL,PM2.5,293.4,293.4,124.76,110.24,104.96,1.8,0.5,36.0
"Worli, Mumbai - MPCB",Mumbai,Maharashtra,52.63,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,52.63,52.63,45.0,6.25,20.0,2.3,,8.0
"Mazgaon, Mumbai - IITM",Mumbai,Maharashtra,48.33,Good,FULL,PM2.5,48.33,48.33,44.0,8.75,43.75,2.0,1.25,16.0
"Ghatkopar, Mumbai - BMC",Mumbai,Maharashtra,107.6,Moderate,FULL,PM2.5,107.6,107.6,63.74,2.5,10.0,1.2,1.75,3.0
"Mindspace-Malad West, Mumbai - MPCB",Mumbai,Maharashtra,43.0,Good,FULL,PM10,43.0,40.0,43.0,5.0,22.5,0.75,2.0,18.0
"Chembur, Mumbai - MPCB",Mumbai,Maharashtra,54.27,Satisfactory,FULL,PM2.5,54.27,54.27,43.0,2.5,15.0,1.85,1.5,9.0
"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,67.33,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,67.33,67.33,60.8,23.75,12.5,0.4,0.5,
"Deonar, Mumbai - IITM",Mumbai,Maharashtra,62.76,Satisfactory,FULL,PM10,62.76,60.8,62.76,2.5,43.75,1.75,1.5,12.0
"Malad West, Mumbai - IITM",Mumbai,Maharashtra,46.67,Good,FULL,PM2.5,46.67,46.67,44.0,10.0,16.25,1.75,0.5,9.0
"Ram Nagar, Nagpur - MPCB",Nagpur,Maharashtra,11.0,Good,PARTIAL_HIGH_CONFIDENCE,OZONE,11.0,,,8.75,,1.3,0.5,11.0
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,67.33,Satisfactory,FULL,PM2.5,67.33,67.33,48.0,13.75,26.25,1.05,0.5,9.0
"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,75.5,Satisfactory,FULL,PM2.5,75.5,75.5,44.0,15.0,17.5,1.1,0.5,18.0
"Sneh Nagar, Nanded - MPCB",Nanded,Maharashtra,120.8,Moderate,FULL,PM2.5,120.8,120.8,73.54,2.5,11.25,1.15,0.75,44.0
"Sewri, Mumbai - BMC",Mumbai,Maharashtra,59.17,Satisfactory,FULL,PM2.5,59.17,59.17,42.0,5.0,41.25,0.7,1.25,14.0
"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,Maharashtra,52.96,Satisfactory,FULL,PM10,52.96,46.67,52.96,10.0,28.75,1.7,0.5,14.0
"Kandivali West, Mumbai - BMC",Mumbai,Maharashtra,52.63,Satisfactory,FULL,PM2.5,52.63,52.63,34.0,1.25,13.75,0.7,0.5,25.0
"Chakala-Andheri East, Mumbai - IITM",Mumbai,Maharashtra,54.92,Satisfactory,FULL,PM10,54.92,16.67,54.92,2.5,15.0,1.8,1.5,8.0
"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,80.4,Satisfactory,FULL,PM2.5,80.4,80.4,55.9,36.25,11.25,1.25,0.5,29.0
"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,14.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,14.0,,,,,1.85,,14.0
"Byculla, Mumbai - BMC",Mumbai,Maharashtra,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,52.96,2.5,26.25,1.35,0.5,8.0
"Kherwadi_Bandra East, Mumbai - MPCB",Mumbai,Maharashtra,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,43.0,6.25,7.5,1.1,1.25,11.0
"Borivali East, Mumbai - IITM",Mumbai,Maharashtra,80.4,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,80.4,80.4,57.86,,8.75,2.05,0.5,25.0
"Gavalinagar, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,64.07,Satisfactory,FULL,PM2.5,64.07,64.07,41.0,1.25,22.5,0.7,0.0,22.0
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad,Maharashtra,57.86,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,57.86,23.33,57.86,,32.5,1.2,,13.0
"Transport Nagar-Nigdi, Pune - IITM",Pimpri-Chinchwad,Maharashtra,114.2,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,114.2,114.2,69.62,,37.5,1.9,,15.0
"Panchawati_Pashan, Pune - IITM",Pune,Maharashtra,86.93,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,86.93,86.93,62.76,,10.0,1.25,,20.0
"Savitribai Phule Pune University, Pune - MPCB",Pune,Maharashtra,55.9,Satisfactory,FULL,PM10,55.9,54.27,55.9,5.0,17.5,1.75,0.5,19.0
"Hadapsar, Pune - IITM",Pune,Maharashtra,104.3,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,104.3,104.3,72.56,,30.0,3.1,,14.0
"Katraj Dairy, Pune - MPCB",Pune,Maharashtra,30.0,Good,FULL,PM10,30.0,28.33,30.0,3.75,17.5,1.65,0.25,10.0
"Revenue Colony-Shivajinagar, Pune - IITM",Pune,Maharashtra,98.37,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,98.37,98.37,80.4,12.5,40.0,4.55,,23.0
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,31.67,Good,FULL,PM2.5,31.67,31.67,29.0,18.75,5.0,0.7,0.25,17.0
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,91.83,Satisfactory,FULL,PM2.5,91.83,91.83,83.34,5.0,7.5,1.05,0.0,30.0
"Corporation Ground, Thrissur - Kerala PCB",Thrissur,Kerala,86.93,Satisfactory,FULL,PM2.5,86.93,86.93,50.0,0.0,11.25,0.6,0.0,30.0
"Skara Yokma, Leh - LPCC",Leh,Ladakh,112.65,Moderate,PARTIAL_HIGH_CONFIDENCE,OZONE,112.65,30.0,23.0,12.5,,9.8,,112.65
"Idgah Hills, Bhopal - MPPCB",Bhopal,Madhya Pradesh,93.47,Satisfactory,FULL,PM2.5,93.47,93.47,79.42,6.25,11.25,1.1,1.0,37.0
"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,107.6,Moderate,FULL,PM2.5,107.6,107.6,89.22,31.25,28.75,0.3,1.5,32.0
"Paryavaran Parisar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,117.5,Moderate,FULL,PM2.5,117.5,117.5,80.4,7.5,26.25,0.85,0.5,31.0
"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,124.1,Moderate,FULL,PM2.5,124.1,124.1,92.16,43.75,85.3,1.45,0.5,44.0
"Maharaj Bada, Gwalior - MPPCB",Gwalior,Madhya Pradesh,313.18,Very Poor,FULL,PM2.5,313.18,313.18,102.98,20.0,48.75,1.75,1.5,48.0
"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,147.2,Moderate,FULL,PM2.5,147.2,147.2,69.62,22.5,70.6,2.45,0.5,27.0
"Katrap, Badlapur - MPCB",Badlapur,Maharashtra,60.8,Satisfactory,FULL,PM2.5,60.8,60.8,43.0,8.75,12.5,2.65,3.5,8.0
"CBD Belapur, Belapur - MPCB",Belapur,Maharashtra,72.23,Satisfactory,FULL,PM2.5,72.23,72.23,63.74,6.25,38.75,1.9,0.5,13.0
"Gokul Nagar, Bhiwandi - MPCB",Bhiwandi,Maharashtra,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,71.58,3.75,8.75,1.3,10.0,27.0
"Khaira, Boisar - MPCB",Boisar,Maharashtra,68.97,Satisfactory,FULL,PM2.5,68.97,68.97,56.88,12.5,16.25,1.2,1.25,30.0
"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,91.83,Satisfactory,FULL,PM2.5,91.83,91.83,79.42,6.25,13.75,0.9,0.75,37.0
"Prabhat Colony, Jalgaon - MPCB",Jalgaon,Maharashtra,107.6,Moderate,FULL,PM2.5,107.6,107.6,78.44,2.5,7.5,1.0,0.75,23.0
"Old MIDC, Jalna - MPCB",Jalna,Maharashtra,324.61,Very Poor,FULL,PM2.5,324.61,324.61,92.16,0.0,23.75,0.85,1.0,40.0
"Pimpleshwar Mandir, Kalyan - MPCB",Kalyan,Maharashtra,51.98,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,51.98,,51.98,15.0,17.5,2.0,0.25,32.0
"Khadakpada, Kalyan - MPCB",Kalyan,Maharashtra,93.47,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,93.47,93.47,56.88,,46.25,,0.25,8.0
"Shivaji University, Kolhapur - MPCB",Kolhapur,Maharashtra,41.0,Good,PARTIAL_HIGH_CONFIDENCE,PM10,41.0,30.0,41.0,0.0,,0.7,0.75,15.0
"Sawe Wadi, Latur - MPCB",Latur,Maharashtra,51.98,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,51.98,,51.98,5.0,10.0,0.75,0.75,17.0
"Kamble Tarf Birwadi, Mahad - MPCB",Mahad,Maharashtra,64.07,Satisfactory,FULL,PM2.5,64.07,64.07,48.0,6.25,16.25,0.8,1.25,13.0
"Mahesh Nagar, Malegaon - MPCB",Malegaon,Maharashtra,186.8,Moderate,FULL,PM2.5,186.8,186.8,102.32,5.0,21.25,0.75,0.25,15.0
"Bhayandar West, Mira-Bhayandar - MPCB",Mira-Bhayandar,Maharashtra,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,33.0,2.5,16.25,1.1,0.75,7.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,45.0,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,45.0,45.0,31.0,10.0,16.25,,0.25,
"Navy Nagar-Colaba, Mumbai - IITM",Mumbai,Maharashtra,60.8,Satisfactory,FULL,PM2.5,60.8,60.8,41.0,11.25,52.23,1.4,0.5,23.0
"Mulund West, Mumbai - MPCB",Mumbai,Maharashtra,77.13,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,77.13,77.13,,,16.25,0.5,1.25,
"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,Madhya Pradesh,360.4,Very Poor,FULL,PM2.5,360.4,360.4,159.08,102.98,23.75,1.45,2.75,69.62
"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,Madhya Pradesh,91.83,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,91.83,91.83,56.88,15.0,47.5,,,
"Mahashweta Nagar, Ujjain - MPPCB",Ujjain,Madhya Pradesh,183.5,Moderate,FULL,PM2.5,183.5,183.5,65.7,6.25,30.0,1.7,2.0,80.4
"Tarakpur, Ahmednagar - MPCB",Ahmednagar,Maharashtra,110.9,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,110.9,110.9,53.94,,,1.3,0.25,41.0
"Chinchpada, Ambernath - MPCB",Ambernath,Maharashtra,75.5,Satisfactory,FULL,PM10,75.5,67.33,75.5,30.0,28.75,0.5,0.5,14.0
"Shri Shivaji Science College, Amravati - MPCB",Amravati,Maharashtra,62.43,Satisfactory,FULL,PM2.5,62.43,62.43,54.92,10.0,12.5,1.45,0.25,27.0
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,Maharashtra,59.17,Satisfactory,FULL,PM2.5,59.17,59.17,37.0,3.75,12.5,3.3,1.75,33.0
"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,64.07,Satisfactory,FULL,PM2.5,64.07,64.07,41.0,5.0,6.25,0.1,0.75,37.0
"Hirawadi, Nashik - MPCB",Nashik,Maharashtra,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,54.92,1.25,1.25,0.8,0.5,28.0
"Kopripada-Vashi, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,210.9,Poor,FULL,PM2.5,210.9,210.9,86.28,3.75,25.0,2.3,0.5,12.0
"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,64.07,Satisfactory,PARTIAL_LOW_CONFIDENCE,PM2.5,64.07,64.07,,,3.75,,0.0,
"Sector-2E Kalamboli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,70.6,Satisfactory,FULL,PM2.5,70.6,70.6,48.0,7.5,11.25,0.75,2.25,14.0
"Sanpada, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,66.68,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,66.68,,66.68,21.25,21.25,1.45,1.5,10.0
"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,71.58,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,71.58,45.0,71.58,15.0,54.67,,0.25,9.0
"Masoom Colony, Parbhani - MPCB",Parbhani,Maharashtra,160.4,Moderate,FULL,PM2.5,160.4,160.4,104.96,2.5,7.5,0.55,0.75,7.0
"Dhoinda, Rajsamand - RSPCB",Rajsamand,Rajasthan,93.47,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,93.47,93.47,83.34,,,1.7,4.75,44.0
"Sahu Nagar, Sawai Madhopur - RSPCB",Sawai Madhopur,Rajasthan,147.2,Moderate,FULL,PM2.5,147.2,147.2,112.88,6.25,22.5,1.75,1.25,48.0
"Radhakishan Pura, Sikar - RSPCB",Sikar,Rajasthan,120.8,Moderate,FULL,PM2.5,120.8,120.8,110.9,3.75,25.0,1.4,4.0,49.0
"Vedhaynath Colony, Sirohi - RSPCB",Sirohi,Rajasthan,66.68,Satisfactory,FULL,PM10,66.68,57.53,66.68,6.25,15.0,0.75,0.75,61.78
"Old City, Sri Ganganagar - RSPCB",Sri Ganganagar,Rajasthan,263.7,Poor,FULL,PM2.5,263.7,263.7,153.14,12.5,59.58,2.65,3.5,37.0
"Shastri Nagar, Tonk - RSPCB",Tonk,Rajasthan,157.1,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,157.1,157.1,118.16,2.5,20.0,1.55,,66.68
"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,207.6,Poor,FULL,PM2.5,207.6,207.6,113.54,35.0,20.0,0.65,1.0,17.0
"Zero Point GICI, Gangtok - SSPCB",Gangtok,Sikkim,10.0,Good,PARTIAL_HIGH_CONFIDENCE,NO2,10.0,,,1.25,10.0,0.25,0.25,1.0
"Manali, Chennai - CPCB",Chennai,Tamil Nadu,167.0,Moderate,FULL,PM2.5,167.0,167.0,90.2,22.5,12.5,1.25,1.5,11.0
"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,101.66,Moderate,PARTIAL_HIGH_CONFIDENCE,PM10,101.66,54.27,101.66,7.5,,,,9.0
"Uchapatti, Madurai - TNPCB",Madurai,Tamil Nadu,6.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,6.0,,,,,0.5,,6.0
"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,Telangana,73.54,Satisfactory,FULL,PM10,73.54,54.27,73.54,10.0,18.75,0.8,0.5,12.0
"15th Mile-Nongthymmai, Byrnihat -Meghalaya PCB",Byrnihat,Meghalaya,147.2,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,147.2,147.2,131.36,,2.5,,0.0,
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,16.25,Good,PARTIAL_HIGH_CONFIDENCE,SO2,16.25,,,16.25,0.0,0.65,0.0,15.0
"Hakimapada, Angul - OSPCB",Angul,Odisha,43.0,Good,FULL,PM10,43.0,41.67,43.0,36.25,38.75,2.85,1.25,16.0
"Kalidaspur, Balasore - OSPCB",Balasore,Odisha,37.0,Good,FULL,OZONE,37.0,15.0,16.0,11.25,10.0,2.3,0.75,37.0
"Forest Office, Barbil - OSPCB",Barbil,Odisha,24.0,Good,FULL,OZONE,24.0,11.67,22.0,17.5,12.5,0.95,0.5,24.0
"Lingraj Mandir, Bhubaneswar - OSPCB",Bhubaneswar,Odisha,44.0,Good,FULL,OZONE,44.0,16.67,14.0,15.0,12.5,0.95,1.0,44.0
"Patia, Bhubaneswar - OSPCB",Bhubaneswar,Odisha,43.0,Good,FULL,OZONE,43.0,28.33,27.0,7.5,17.5,0.8,2.5,43.0
"Tata Township, Bileipada - OSPCB",Bileipada,Odisha,30.0,Good,FULL,PM10,30.0,23.33,30.0,8.75,16.25,1.1,1.25,18.0
"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,42.0,Good,FULL,OZONE,42.0,20.0,17.0,21.25,37.5,2.85,1.0,42.0
"Ferro Chrome Colony, Byasanagar - OSPCB",Byasanagar,Odisha,43.0,Good,FULL,OZONE,43.0,23.33,24.0,6.25,6.25,2.0,0.0,43.0
"Jagamohanpur, Keonjhar - OSPCB",Keonjhar,Odisha,60.8,Satisfactory,FULL,PM2.5,60.8,60.8,33.0,26.25,18.75,2.25,0.5,9.0
"Dabuna, Nayagarh - OSPCB",Nayagarh,Odisha,22.5,Good,FULL,SO2,22.5,18.33,17.0,22.5,8.75,0.35,1.5,16.0
"Nua Sandhakuda, Paradeep - OSPCB",Paradeep,Odisha,39.0,Good,FULL,OZONE,39.0,31.67,29.0,18.75,37.5,4.0,1.25,39.0
"Divisional Forest Office, Rairangpur - OSPCB",Rairangpur,Odisha,35.0,Good,FULL,PM2.5,35.0,35.0,25.0,11.25,7.5,0.75,0.75,6.0
"Raghunathpali, Rourkela - OSPCB",Rourkela,Odisha,10.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,10.0,,,,,0.6,,10.0
"Jawahar Nagar, Puducherry - PPCC",Puducherry,Puducherry,43.33,Good,FULL,PM2.5,43.33,43.33,37.0,12.5,23.75,1.15,0.5,21.0
"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,183.5,Moderate,FULL,PM2.5,183.5,183.5,92.16,15.0,26.25,1.25,1.75,18.0
"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,89.22,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,89.22,85.3,89.22,18.75,38.75,1.0,,
"Civil Line, Jalandhar - PPCB",Jalandhar,Punjab,243.9,Poor,FULL,PM2.5,243.9,243.9,83.34,21.25,60.8,2.5,1.0,30.0
"Housing Board, Hanumangarh - RSPCB",Hanumangarh,Rajasthan,247.2,Poor,FULL,PM2.5,247.2,247.2,98.04,6.25,16.25,1.9,1.25,29.0
"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,210.9,Poor,FULL,PM2.5,210.9,210.9,101.66,32.5,52.23,1.95,2.75,52.96
"Mansarovar Sector-12, Jaipur - RSPCB",Jaipur,Rajasthan,157.1,Moderate,FULL,PM2.5,157.1,157.1,116.18,3.75,41.25,2.65,1.0,97.06
"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,130.7,Moderate,FULL,PM2.5,130.7,130.7,112.22,25.0,107.93,2.9,3.0,42.0
