station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Omex Eternity, Vrindavan - UPPCB",Vrindavan,Uttar Pradesh,293.4,Poor,FULL,PM2.5,293.4,293.4,89.22,16.25,33.75,0.55,2.0,16.0
"Chhatikara, Vrindavan - UPPCB",Vrindavan,Uttar Pradesh,301.76,Very Poor,FULL,PM2.5,301.76,301.76,170.3,31.25,5.0,7.65,1.0,52.96
"Doon University, Dehradun - UKPCB",Dehradun,Uttarakhand,130.7,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,130.7,130.7,81.38,1.25,2.5,1.25,,18.0
"Govt. Girls Inter College, Kashipur - UKPCB",Kashipur,Uttarakhand,0.7,Good,SINGLE_POLLUTANT_ONLY,CO,0.7,,,,,0.7,,
"Somajiguda, Hyderabad - TSPCB",Hyderabad,Telangana,117.5,Moderate,FULL,PM2.5,117.5,117.5,56.88,11.25,18.75,1.35,0.75,16.0
"Bardowali, Agartala - Tripura SPCB",Agartala,Tripura,50.0,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,50.0,50.0,46.0,21.25,16.25,1.35,,2.0
"Manoharpur, Agra - UPPCB",Agra,Uttar Pradesh,224.1,Poor,FULL,PM2.5,224.1,224.1,110.24,16.25,38.75,1.0,0.5,6.0
"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,336.79,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,336.79,336.79,108.92,21.25,20.0,1.55,,10.0
"Shastripuram, Agra - UPPCB",Agra,Uttar Pradesh,234.0,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,234.0,234.0,78.44,,15.0,2.45,0.75,8.0
"Rohta, Agra - UPPCB",Agra,Uttar Pradesh,147.2,Moderate,FULL,PM2.5,147.2,147.2,112.88,22.5,20.0,1.65,1.5,14.0
"Shahjahan Garden, Agra - UPPCB",Agra,Uttar Pradesh,95.1,Satisfactory,PARTIAL_HIGH_CONFIDENCE,SO2,95.1,,,95.1,32.5,2.15,0.25,2.0
"Sardar Patel Inter College, Baghpat - UPPCB",Baghpat,Uttar Pradesh,243.9,Poor,FULL,PM2.5,243.9,243.9,155.12,18.75,42.5,1.2,0.75,28.0
"Nagar Palika Parishad, Baraut - UPPCB",Baraut,Uttar Pradesh,319.28,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,319.28,319.28,91.18,5.0,33.75,2.2,,23.0
"Rajendra Nagar, Bareilly - UPPCB",Bareilly,Uttar Pradesh,283.5,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,283.5,283.5,,20.0,11.25,1.0,0.25,
"Civil Lines, Bareilly - UPPCB",Bareilly,Uttar Pradesh,90.2,Satisfactory,FULL,SO2,90.2,73.87,43.0,90.2,10.0,2.1,0.0,2.0
"Employment Office, Moradabad - UPPCB",Moradabad,Uttar Pradesh,160.4,Moderate,FULL,PM2.5,160.4,160.4,98.04,53.45,28.75,0.7,0.75,17.0
"Buddhi Vihar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,186.8,Moderate,FULL,PM2.5,186.8,186.8,114.2,43.75,36.25,0.8,1.25,45.0
"Jigar Colony, Moradabad - UPPCB",Moradabad,Uttar Pradesh,100.0,Satisfactory,FULL,PM2.5,100.0,100.0,97.06,70.6,31.25,2.0,1.5,31.0
